threads,time
1,27.30
2,20.10
3,25.50
4,34.90
5,43.70
6,55.80
7,64.90
8,73.60
9,88.00
10,97.40
11,107.40
12,118.00
13,131.20
14,136.20
15,149.40
16,162.50
17,169.50
18,170.00
19,181.30
20,184.10
21,193.80
22,197.10
23,196.10
24,175.30
25,199.50
26,210.40
27,204.20
28,204.70
29,191.90
30,208.20
31,221.80
32,192.70
33,205.30
34,202.90
35,188.90
36,181.80
37,188.60
38,173.50
39,177.20
40,181.30
41,209.80
42,204.10
43,184.80
44,178.80
45,159.70
46,182.90
47,168.70
48,170.10
49,177.40
50,173.70
51,180.70
52,176.50
53,162.90
54,179.20
55,158.40
56,161.30
57,159.70
58,162.30
59,160.90
60,160.00
61,156.00
62,146.80
63,147.20
64,150.90
65,160.70
66,156.90
67,143.70
68,142.00
69,139.90
70,135.10
71,140.80
72,158.00
73,133.50
74,145.80
75,139.70
76,134.90
77,149.10
78,146.40
79,127.50
80,130.50
81,124.60
82,139.90
83,121.10
84,129.50
85,130.90
86,132.00
87,119.80
88,117.30
89,129.00
90,116.20
91,113.50
92,118.00
93,112.10
94,113.50
95,105.50
96,113.30
97,125.30
98,106.40
99,107.60
100,124.70
101,100.10
102,105.50
103,123.60
104,107.40
105,106.70
106,115.80
107,99.70
108,102.90
109,96.40
110,101.60
111,122.60
112,103.50
113,95.60
114,96.50
115,96.30
116,98.30
117,117.20
118,94.10
119,96.10
120,92.70
121,90.60
122,97.10
123,101.40
124,111.80
125,88.40
126,89.90
127,87.70
128,85.40
129,88.80
130,92.40
131,89.60
132,94.90
133,88.30
134,111.60
135,92.40
136,88.10
137,94.00
138,87.70
139,87.90
140,91.20
141,89.00
142,90.70
143,88.00
144,90.10
145,88.70
146,88.00
147,84.90
148,90.10
149,88.80
150,87.10
151,80.50
152,83.70
153,84.70
154,88.90
155,86.20
156,82.40
157,84.10
158,82.20
159,81.50
160,84.60
161,83.70
162,78.80
163,82.20
164,79.80
165,80.10
166,83.40
167,81.40
168,86.40
169,86.00
170,84.30
171,83.70
172,79.80
173,83.50
174,83.80
175,80.40
176,77.90
177,78.30
178,83.40
179,83.40
180,88.60
181,77.70
182,99.40
183,85.10
184,99.10
185,80.30
186,76.90
187,79.40
188,86.60
189,78.60
190,81.70
191,77.60
192,78.90
193,80.80
194,71.70
195,80.70
196,46.10
197,69.30
198,76.00
199,80.90
200,68.80
